Wall time,Step,Value
1553117734.761777,132352,0.005158537067472935
1553117736.557694,132608,-0.0013830706011503935
1553117738.3003788,132864,0.006024147849529982
1553117739.8887,133120,-0.007465427275747061
1553117742.05405,133376,-0.0032443024683743715
1553117747.1249669,134144,-0.012456351891160011
1553117749.282103,134400,-0.006405833177268505
1553117751.14876,134656,0.008499126881361008
1553117761.122159,136192,0.004902428016066551
1553117764.2485209,136704,-0.004755224101245403
1553117765.849046,136960,-0.0014769125264137983
1553117767.467634,137216,0.010577024891972542
1553117768.927177,137472,-0.00293215224519372
1553117770.554496,137728,0.005586571525782347
1553117772.4667861,137984,0.01023961417376995
1553117774.945824,138240,-0.0050291805528104305
1553117777.985248,138496,-0.008499154821038246
1553117779.4257212,138752,0.004986179526895285
1553117780.9591548,139008,-0.001696544699370861
1553117782.669795,139264,0.004834468942135572
1553117784.433929,139520,-0.004871508572250605
1553117786.031303,139776,0.003163276705890894
1553117787.684066,140032,-0.0007772263488732278
1553117789.3470771,140288,0.003044511890038848
1553117790.835721,140544,0.014851836487650871
1553117792.6002,140800,0.00013135324115864933
1553117797.58399,141312,0.00777254905551672
1553117799.243673,141568,0.002233372302725911
1553117801.4715068,141824,0.011810299940407276
1553117804.9717429,142336,-0.0026349290274083614
1553117808.820786,142848,-0.00676122959703207
1553117812.9436522,143360,-0.004187490791082382
1553117816.278226,143616,0.001972322352230549
1553117821.5220668,144384,0.01290122140198946
1553117824.0064058,144640,-0.01347216684371233
1553117826.168608,144896,0.004722605925053358
1553117829.744452,145408,0.0065476782619953156
1553117831.351775,145664,0.0031866715289652348
1553117833.438516,145920,0.0010844648350030184
1553117838.334041,146432,-0.011541464366018772
1553117839.789057,146688,-0.0028782624285668135
1553117841.2648058,146944,-0.003824240295216441
1553117842.85111,147200,-0.002660739468410611
1553117846.373538,147712,0.0009153314749710262
1553117848.203682,147968,0.00409829244017601
1553117849.812603,148224,0.009201707318425179
1553117851.549224,148480,-0.002543842885643244
1553117854.0071921,148736,0.015864809975028038
1553117855.672669,148992,-0.004169987048953772
1553117858.065759,149248,0.01647840440273285
1553117859.861282,149504,0.019010061398148537
1553117861.607509,149760,-0.005014912690967321
1553117866.026122,150272,-0.0009446244803257287
1553117867.590115,150528,0.005050950683653355
1553117869.032775,150784,-0.0019795175176113844
1553117874.281513,151552,-0.0004807754885405302
1553117875.809572,151808,0.011723844334483147
1553117877.4245791,152064,0.014571383595466614
1553117880.3984919,152576,0.010237736627459526
1553117883.1616619,152832,-0.00420725904405117
1553117885.548646,153088,-0.003676513908430934
1553117887.402123,153344,-0.010122174397110939
1553117890.906562,153856,0.00027426070300862193
1553117893.7452679,154368,0.0171071644872427
1553117895.261893,154624,-0.005686877761036158
1553117897.050854,154880,0.0016072370344772935
1553117901.7700229,155392,-0.008626953698694706
1553117905.056596,155904,-0.003310705069452524
1553117909.729126,156416,-0.006398993078619242
1553117911.6923652,156672,0.005682605318725109
1553117913.312747,156928,-0.01985444501042366
1553117920.24269,157696,-0.010045042261481285
1553117927.190974,158720,-0.0035616341046988964
1553117929.2586722,158976,-0.01390239130705595
1553117930.711516,159232,-0.0028746682219207287
1553117932.1901922,159488,-0.0012992401607334614
1553117933.6104572,159744,-0.009332364425063133
1553117936.422112,160256,0.0060508823953568935
1553117937.9037519,160512,0.010020986199378967
1553117942.545053,161280,-0.005133113823831081
1553117944.827001,161536,0.009667077101767063
1553117948.013273,162048,0.0106430035084486
1553117951.10956,162560,-0.010604125447571278
1553117952.7964401,162816,-0.0018700698856264353
1553117957.420225,163584,-0.00972950179129839
1553117961.068515,164096,-0.0003720723616424948
1553117962.625816,164352,-0.011143586598336697
1553117964.290188,164608,0.003483837004750967
1553117965.83373,164864,-0.0039976174011826515
1553117967.548872,165120,-0.006466152612119913
1553117969.0359051,165376,-0.0017315838485956192
1553117970.611017,165632,0.0045129298232495785
1553117972.394593,165888,0.011344937607645988
1553117974.1246479,166144,-0.008645141497254372
1553117975.966112,166400,-0.005348559003323317
1553117978.771348,166656,-0.009642362594604492
1553117980.8818471,166912,0.014279104769229889
1553117983.4521952,167168,0.0002666738291736692
1553117991.625429,168192,0.0036483914591372013
1553117993.616191,168448,0.004378438461571932
1553117997.613222,168960,-0.0003199176280759275
1553118002.979255,169472,-0.0007012358983047307
1553118004.768553,169728,0.00020659156143665314
1553118006.966794,169984,-0.002210932318121195
1553118009.394678,170240,-0.007179202977567911
1553118011.555848,170496,0.0005274798604659736
1553118013.737391,170752,-0.005046060774475336
1553118015.347466,171008,-0.015953289344906807
1553118017.029431,171264,0.0012218263000249863
1553118018.7293272,171520,-0.001515061128884554
1553118022.667519,172032,-6.310865137493238e-05
1553118024.19269,172288,-0.0028585311956703663
1553118026.183085,172544,0.000523968948982656
1553118028.0449831,172800,-0.0038458537310361862
1553118029.7242398,173056,-0.0006644399836659431
1553118033.2741492,173568,0.0006502451142296195
1553118035.02769,173824,0.0002582441666163504
1553118036.750834,174080,-0.0008229367667809129
1553118041.022599,174592,0.0018798724049702287
1553118042.995755,174848,0.0032843351364135742
1553118044.579558,175104,-0.008067856542766094
1553118046.027051,175360,-0.007262334227561951
1553118047.55328,175616,-0.0012429251801222563
1553118048.9395359,175872,0.006272987462580204
1553118050.4152179,176128,-0.0016895981971174479
1553118051.81113,176384,0.000966348045039922
1553118053.296124,176640,-0.00414673238992691
1553118058.205815,177408,-0.012220848351716995
1553118061.1471841,177920,-0.008462747558951378
1553118064.617968,178432,-0.00012154995783930644
1553118069.484142,179200,0.006534665822982788
1553118071.795615,179456,-0.0034617974888533354
1553118073.298548,179712,-0.0028745653107762337
1553118074.834273,179968,-0.013064125552773476
1553118076.2935839,180224,-0.0074484022334218025
1553118078.128354,180480,0.007894274778664112
1553118079.868661,180736,0.0015546440845355392
1553118081.60975,180992,-0.008786782622337341
1553118083.3714402,181248,-0.003702052403241396
1553118085.063839,181504,-0.0028920602053403854
1553118086.643021,181760,-0.004030090756714344
1553118089.146719,182016,0.0017107378225773573
1553118090.665059,182272,-0.0015098097501322627
1553118095.357337,183040,0.004106233827769756
1553118096.870292,183296,-0.008879262953996658
1553118098.403605,183552,-0.00037816757685504854
1553118102.316693,184064,0.0028724861331284046
1553118103.767734,184320,0.0003561583871487528
1553118107.303126,184832,-0.010883495211601257
1553118109.0765471,185088,0.009779050946235657
1553118110.733084,185344,0.004521811380982399
1553118112.416914,185600,0.0008431881433352828
1553118113.925963,185856,-0.0071439603343605995
1553118115.3954282,186112,0.0005575241521000862
1553118119.618289,186880,-0.0032762151677161455
1553118121.620011,187136,-0.0013083533849567175
1553118123.071692,187392,-0.00923730805516243
1553118129.926937,188416,-0.011243882589042187
1553118131.3776278,188672,-0.004004450980573893
